"동별(1)","항목",2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4
"동별(1)","항목",합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"노원구","계",502925,10677,15857,21455,26015,34607,33968,32498,29449,37003,38898,47068,39758,39250,34042,22592,17158,12981,6680,2351,533,85,501727,10443,15576,21219,26069,34531,33730,32418,29187,36701,38285,46781,40144,39047,34437,22890,17361,12992,6889,2400,542,85
"노원구","한국인",498213,10622,15803,21427,25745,33328,32973,31961,29061,36722,38679,46871,39570,39142,33975,22567,17146,12976,6677,2351,532,85,497064,10394,15510,21187,25937,33362,32664,31841,28785,36402,38057,46590,39948,38917,34366,22860,17347,12985,6886,2400,541,85
"노원구","등록외국인",4712,55,54,28,270,1279,995,537,388,281,219,197,188,108,67,25,12,5,3,-,1,-,4663,49,66,32,132,1169,1066,577,402,299,228,191,196,130,71,30,14,7,3,-,1,-
"은평구","계",470869,10219,14227,16871,18865,26041,36504,36562,30883,36484,34500,41748,36756,37392,31812,22102,17815,13369,6406,1855,401,57,470185,9942,13944,16668,18666,25719,36362,36899,30477,36148,34298,41562,37026,37265,32339,22316,17980,13469,6683,1945,416,61
"은평구","한국인",466770,10135,14139,16807,18732,25747,36048,36022,30331,36047,34194,41421,36416,37166,31678,22049,17786,13352,6393,1851,399,57,466007,9859,13838,16591,18557,25457,35922,36336,29909,35696,33949,41259,36706,37002,32190,22255,17948,13450,6668,1941,413,61
"은평구","등록외국인",4099,84,88,64,133,294,456,540,552,437,306,327,340,226,134,53,29,17,13,4,2,-,4178,83,106,77,109,262,440,563,568,452,349,303,320,263,149,61,32,19,15,4,3,-
"서대문구","계",320629,7420,10348,10858,12173,26578,30161,25304,21714,23703,21695,26407,23318,22837,19082,13019,10860,8864,4502,1425,297,64,320378,7282,10106,10787,11993,26461,30408,25450,21476,23525,21512,26291,23565,22725,19420,13073,10949,8849,4678,1448,318,62
"서대문구","한국인",306231,7339,10184,10689,11434,21425,27007,24012,20895,23039,21214,25955,22938,22512,18849,12887,10789,8817,4474,1416,294,62,305986,7217,9968,10609,11612,21696,26756,23998,20632,22848,21009,25836,23210,22376,19165,12934,10863,8799,4648,1437,314,59
"서대문구","등록외국인",14398,81,164,169,739,5153,3154,1292,819,664,481,452,380,325,233,132,71,47,28,9,3,2,14392,65,138,178,381,4765,3652,1452,844,677,503,455,355,349,255,139,86,50,30,11,4,3
"마포구","계",375162,8856,12152,12858,14264,26089,38099,36301,29906,30594,27562,31405,25475,23706,19131,13069,10815,8655,4375,1483,315,52,374962,8605,11924,12746,14160,25890,37998,36563,29683,30538,27384,31419,25758,23702,19491,13078,10942,8659,4501,1532,338,51
